Pergunta,Resposta
1 Ainda preciso usar o SEI para solicitar as análises do GATE?,Não. Todas as solicitações de análise técnica (SAT) elaboradas a partir do dia 29/04/2024 devem ser encaminhadas ao GATE através do novo Portal de Serviços. As solicitações via SEI serão inadmitidas.
2 O SEI ainda será usado para o atendimento das SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
3 Como faço para logar no novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
4 O procedimento para o qual eu gostaria de atendimento não aparece na lista. O que fazer?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
5 O fato gera impacto regional e/ou atinge mais de um município sob minha atribuição. Qual deles eu devo selecionar?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"6 No caso de complementação de IT anterior, como faço para vincular o meu pedido ao documento que foi anteriormente produzido pelo GATE?","Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
7 Não encontro o serviço que preciso na página de temas e serviços. E agora?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
8 Existe algum serviço coringa?,"Não. Todos os serviços que são prestados pelo GATE estão compilados na página correspondente ou no catálogo de serviços, onde também podem ser encontradas descrições de cada um deles, e a lista de documentos obrigatórios e adicionais. Em breve, este material também contemplará os quesitos sugeridos para cada serviço."
9 Na minha investigação eu preciso de dois ou mais serviços prestados pelo GATE. Posso selecionar mais de um?,"Sim. Caso precise de mais de um serviço relacionado ao mesmo objeto de investigação (ex: superfaturamento e sobrepreço), você deve selecionar todos eles na página de temas e serviços. Isso porque para cada serviço há uma lista de documentos obrigatórios que deve ser preenchida para que o GATE possa atender a sua solicitação."
10 O que são documentos obrigatórios?,"São aqueles documentos sem os quais a equipe técnica do GATE não consegue produzir a IT. Em outras palavras, eles são imprescindíveis para a correta e completa análise técnica."
11 Não possuo todos os documentos obrigatórios listados. Ainda assim posso enviar a SAT ao GATE?,Não. O envio de SATs sem a documentação obrigatória completa e em desacordo com a forma de envio prevista nos Protocolos de Gestão resultará no indeferimento da solicitação.
